ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/home/chanko/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar,junit/framework/Test,junit/framework/Test,Normal,b9048836a9609c56b508cf16a60345cf6cc66ab0,Loader@1dbd16a6:junit/framework/Test
1,file:/home/chanko/soba/target/test-classes/,soba/core/JavaProgramTest,soba/core/JavaProgramTest,Normal,880898dfaab1a2717a438b44d4db25f007a8a97c,Loader@1dbd16a6:soba/core/JavaProgramTest
2,file:/home/chanko/soba/target/test-classes/,soba/core/ExampleProgram,soba/core/ExampleProgram,Normal,a6f98534ca1e66c6602bab5c948f0db7eac137f4,Loader@1dbd16a6:soba/core/ExampleProgram
3,file:/home/chanko/soba/target/classes/,soba/core/JavaProgram,soba/core/JavaProgram,Normal,1d023f9f5cb12944f0cc970619d9245820fbad3e,Loader@1dbd16a6:soba/core/JavaProgram
4,file:/home/chanko/soba/target/test-classes/,soba/core/FieldInfoTest,soba/core/FieldInfoTest,Normal,480b2f0ec19d03e930c55c1325574fc7d490f96e,Loader@1dbd16a6:soba/core/FieldInfoTest
5,file:/home/chanko/soba/target/test-classes/,soba/core/method/DataDependenceTest,soba/core/method/DataDependenceTest,Normal,88f1de118c85b12225217797c149c24312959b21,Loader@1dbd16a6:soba/core/method/DataDependenceTest
6,file:/home/chanko/soba/target/test-classes/,soba/core/method/LocalVariablesTest,soba/core/method/LocalVariablesTest,Normal,02c1fe24f1d75bd72e7a5a41b1eb10054558f552,Loader@1dbd16a6:soba/core/method/LocalVariablesTest
7,file:/home/chanko/soba/target/test-classes/,soba/core/method/ControlDependenceTest,soba/core/method/ControlDependenceTest,Normal,72f91710938d058117979f3874dbcc1e31d5881f,Loader@1dbd16a6:soba/core/method/ControlDependenceTest
8,file:/home/chanko/soba/target/classes/,soba/util/graph/DirectedGraph,soba/util/graph/DirectedGraph,Normal,2076a8595cdb7632d968c410c75fa14a071922e8,Loader@1dbd16a6:soba/util/graph/DirectedGraph
9,file:/home/chanko/soba/target/classes/,soba/util/graph/IDirectedGraph,soba/util/graph/IDirectedGraph,Normal,cb8b02a02cb0a41ae710daec59a376755278f512,Loader@1dbd16a6:soba/util/graph/IDirectedGraph
10,file:/home/chanko/soba/target/test-classes/,soba/core/method/asm/FastSourceValueTest,soba/core/method/asm/FastSourceValueTest,Normal,12ec357e24d61caab1803bf5fb095dc1e0fc8d2d,Loader@1dbd16a6:soba/core/method/asm/FastSourceValueTest
11,file:/home/chanko/soba/target/test-classes/,soba/core/ClassInfoTest,soba/core/ClassInfoTest,Normal,186065877cc555eccf9b661bbda9c201f3f90fda,Loader@1dbd16a6:soba/core/ClassInfoTest
12,file:/home/chanko/soba/target/test-classes/,soba/core/ClassHierarchyTest,soba/core/ClassHierarchyTest,Normal,5c42432593a2a296f2853a51cc41b5f893fe1c2b,Loader@1dbd16a6:soba/core/ClassHierarchyTest
13,file:/home/chanko/soba/target/classes/,soba/core/ClassHierarchy$FrozenHierarchyException,soba/core/ClassHierarchy$FrozenHierarchyException,Normal,3463293b72f099cb4d3809a83c25a238bc4cf19e,Loader@1dbd16a6:soba/core/ClassHierarchy$FrozenHierarchyException
14,file:/home/chanko/soba/target/classes/,soba/core/MethodInfo,soba/core/MethodInfo,Normal,8fcdf8ccc9f6d88183d2e8026d24f56dc6507a98,Loader@1dbd16a6:soba/core/MethodInfo
15,file:/home/chanko/soba/target/test-classes/,soba/core/MethodInfoTest,soba/core/MethodInfoTest,Normal,0d89addfaf665795e948a46c62ef268ba4d96308,Loader@1dbd16a6:soba/core/MethodInfoTest
16,file:/home/chanko/soba/target/test-classes/,soba/core/signature/TypeResolverTest,soba/core/signature/TypeResolverTest,Normal,b5311c95c65e1567d037e82e7c252ef06905ba2d,Loader@1dbd16a6:soba/core/signature/TypeResolverTest
17,file:/home/chanko/soba/target/test-classes/,soba/core/vta/MethodVerticesTest,soba/core/vta/MethodVerticesTest,Normal,9b35f44bf0d6c5f4b094a30d254220294ebe6d18,Loader@1dbd16a6:soba/core/vta/MethodVerticesTest
18,file:/home/chanko/soba/target/test-classes/,soba/core/vta/CallSiteVerticesTest,soba/core/vta/CallSiteVerticesTest,Normal,a2f672ac1df379405db23c1e42eba6de84c22238,Loader@1dbd16a6:soba/core/vta/CallSiteVerticesTest
19,file:/home/chanko/soba/target/test-classes/,soba/core/vta/VTAResolverTest,soba/core/vta/VTAResolverTest,Normal,e51acda982ccc8cd367eccc422b2f9caa8295e87,Loader@1dbd16a6:soba/core/vta/VTAResolverTest
20,file:/home/chanko/soba/target/classes/,soba/core/vta/IAnalysisTarget,soba/core/vta/IAnalysisTarget,Normal,22ad799be095a430683f9611fea5729a2613c7f0,Loader@1dbd16a6:soba/core/vta/IAnalysisTarget
21,file:/home/chanko/soba/target/test-classes/,soba/core/vta/NewVerticesTest,soba/core/vta/NewVerticesTest,Normal,f780217f1de8c52923adf1d7016a699dce56096e,Loader@1dbd16a6:soba/core/vta/NewVerticesTest
22,file:/home/chanko/soba/target/test-classes/,soba/util/graph/DominanceTreeTest,soba/util/graph/DominanceTreeTest,Normal,322ef811d1a8379184b1b5243d4c7ebacb72fcd6,Loader@1dbd16a6:soba/util/graph/DominanceTreeTest
23,file:/home/chanko/soba/target/test-classes/,soba/util/graph/DirectedAcyclicGraphTest,soba/util/graph/DirectedAcyclicGraphTest,Normal,d8df44e8d0aab9b7647b49718caeed62eb786c74,Loader@1dbd16a6:soba/util/graph/DirectedAcyclicGraphTest
24,file:/home/chanko/soba/target/classes/,soba/util/IntPairProc,soba/util/IntPairProc,Normal,131bf5afccb4a66ef10c04e9649f223ebc514071,Loader@1dbd16a6:soba/util/IntPairProc
25,file:/home/chanko/soba/target/test-classes/,soba/util/graph/DirectedGraphTest,soba/util/graph/DirectedGraphTest,Normal,8dfc1cb5881576778cbb3276cfa1eb77bcb2b8e5,Loader@1dbd16a6:soba/util/graph/DirectedGraphTest
26,file:/home/chanko/soba/target/classes/,soba/util/graph/IDepthFirstVisitor,soba/util/graph/IDepthFirstVisitor,Normal,46a5e797bb1e4cffc846658715067c9af96d1b54,Loader@1dbd16a6:soba/util/graph/IDepthFirstVisitor
27,file:/home/chanko/soba/target/test-classes/,soba/util/graph/SingleRootDirectedGraphTest,soba/util/graph/SingleRootDirectedGraphTest,Normal,cfdb779c37de6d1d10d57003a6623fa71623a9b6,Loader@1dbd16a6:soba/util/graph/SingleRootDirectedGraphTest
28,file:/home/chanko/soba/target/test-classes/,soba/util/graph/DepthFirstSearchTest,soba/util/graph/DepthFirstSearchTest,Normal,53e70fd23daa6b4e687613c4a607b8c7f2ecb0c2,Loader@1dbd16a6:soba/util/graph/DepthFirstSearchTest
