DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,-1,-1,RESERVED,V,"null"
1,0,1,-1,-1,RESERVED,V,"null"
2,1,2,14,-1,RESERVED,V,"null"
3,1,2,14,0,METHOD_ENTRY,V,"methodtype=constructor"
4,1,2,14,3,CALL,V,"opcode=INVOKESPECIAL,owner=java/lang/Object,name=<init>,desc=()V"
5,1,2,14,3,CALL_RETURN,V,"null"
6,1,2,14,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,1,2,14,4,METHOD_NORMAL_EXIT,V,"null"
8,1,2,14,6,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=6,handler=6"
9,1,2,14,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,1,3,19,-1,RESERVED,V,"null"
11,1,3,19,0,METHOD_ENTRY,V,"methodtype=static"
12,1,3,19,3,CALL,V,"opcode=INVOKESTATIC,owner=soba/util/TestUtil,name=getTestFile,desc=(Ljava/lang/String;)Ljava/io/File;"
13,1,3,19,3,CALL_RETURN,V,"null"
14,1,3,20,10,CALL,V,"opcode=INVOKESPECIAL,owner=soba/util/files/Directory,name=<init>,desc=(Ljava/io/File;)V,created=-1"
15,1,3,20,10,CALL_RETURN,V,"null"
16,1,3,21,22,CALL,V,"opcode=INVOKESPECIAL,owner=soba/core/JavaProgram,name=<init>,desc=([Lsoba/util/files/IClassList;)V,created=-1"
17,1,3,21,22,CALL_RETURN,V,"null"
18,1,3,22,27,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
19,1,3,22,29,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=29,handler=29"
20,1,3,22,29,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
21,1,4,27,-1,RESERVED,V,"null"
22,1,4,27,0,METHOD_ENTRY,V,"methodtype=static"
23,1,4,27,2,CALL,V,"opcode=INVOKESTATIC,owner=soba/core/JavaProgramTest,name=readExampleProgram,desc=()Lsoba/core/JavaProgram;"
24,1,4,27,2,CALL_RETURN,V,"null"
25,1,4,28,6,METHOD_NORMAL_EXIT,V,"null"
26,1,4,28,7,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=7,handler=7"
27,1,4,28,7,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
28,1,5,32,-1,RESERVED,V,"null"
29,1,5,32,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
30,1,5,32,3,CALL,V,"opcode=INVOKEVIRTUAL,owner=soba/core/JavaProgram,name=getClasses,desc=()Ljava/util/List;"
31,1,5,32,3,CALL_RETURN,V,"null"
32,1,5,32,4,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/Matchers,name=notNullValue,desc=()Lorg/hamcrest/Matcher;"
33,1,5,32,4,CALL_RETURN,V,"null"
34,1,5,32,5,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/Matchers,name=is,desc=(Lorg/hamcrest/Matcher;)Lorg/hamcrest/Matcher;"
35,1,5,32,5,CALL_RETURN,V,"null"
36,1,5,32,6,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/MatcherAssert,name=assertThat,desc=(Ljava/lang/Object;Lorg/hamcrest/Matcher;)V"
37,1,5,32,6,CALL_RETURN,V,"null"
38,1,5,33,10,CALL,V,"opcode=INVOKEVIRTUAL,owner=soba/core/JavaProgram,name=getClasses,desc=()Ljava/util/List;"
39,1,5,33,10,CALL_RETURN,V,"null"
