Name,Libraries
testJavaProgram01,"org/hamcrest/collection/IsCollectionWithSize, java/lang/Integer, java/lang/String, org/hamcrest/Matchers, java/util/Collection, java/util/Map, org/hamcrest/Matcher, org/hamcrest/MatcherAssert, org/hamcrest/FeatureMatcher, java/lang/Class, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/core/IsNot, soba/core/JavaProgram, java/lang/reflect/Method, org/hamcrest/TypeSafeMatcher, java/lang/Object, org/hamcrest/collection/IsEmptyCollection, org/hamcrest/Description"
testGetPackageName,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, soba/core/ClassInfo, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/FieldInfo, org/hamcrest/MatcherAssert"
testGetClassName,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, soba/core/ClassInfo, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/FieldInfo, org/hamcrest/MatcherAssert"
testGetFieldName,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/FieldInfo, org/hamcrest/MatcherAssert"
testGetDescriptor,"org/hamcrest/Matchers, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/FieldInfo, org/hamcrest/MatcherAssert"
testGetFieldTypeName,"org/hamcrest/Matchers, java/lang/String, org/hamcrest/Matcher, java/util/Map, java/util/concurrent/ConcurrentHashMap, java/lang/StringBuilder, java/lang/Class, java/lang/Object, org/objectweb/asm/signature/SignatureReader, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/objectweb/asm/signature/SignatureVisitor, org/hamcrest/core/IsEqual, soba/core/signature/TypeResolver, soba/core/FieldInfo, soba/core/signature/TypeVisitor, org/hamcrest/MatcherAssert"
testDataDependence01,"java/lang/Double, soba/core/method/asm/DataFlowAnalyzer, gnu/trove/list/array/TIntArrayList, gnu/trove/impl/hash/TObjectHash, soba/util/IntPairSet, soba/util/IntPairList, org/hamcrest/Matcher, org/objectweb/asm/Type, soba/core/ClassInfo, gnu/trove/set/hash/TIntHashSet, org/objectweb/asm/tree/analysis/Analyzer, org/hamcrest/core/IsNull, org/objectweb/asm/tree/analysis/Subroutine, java/util/HashMap, org/hamcrest/core/IsNot, java/lang/reflect/Method, gnu/trove/impl/hash/THashPrimitiveIterator, org/hamcrest/collection/IsIterableContainingInAnyOrder, gnu/trove/impl/hash/TIntHash, java/util/Arrays, org/hamcrest/collection/IsArrayContainingInAnyOrder, gnu/trove/iterator/TIntIterator, gnu/trove/impl/hash/TPrimitiveHash, java/lang/Short, org/hamcrest/MatcherAssert, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, soba/util/graph/DirectedGraph, org/hamcrest/TypeSafeMatcher, java/lang/Boolean, org/objectweb/asm/tree/analysis/Interpreter, java/util/ArrayList, java/lang/Math, soba/util/ObjectIdMap, soba/core/method/DataDependenceTest, org/hamcrest/core/DescribedAs, java/lang/Integer, org/hamcrest/Matchers, soba/core/method/DataFlowEdge, gnu/trove/impl/HashFunctions, java/lang/Long, java/util/Map, org/hamcrest/collection/IsArrayWithSize, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/analysis/Frame, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, gnu/trove/map/hash/TIntObjectHashMap, java/util/List, org/objectweb/asm/tree/analysis/Value, soba/util/UtilForAssertThat, org/hamcrest/Description, soba/core/method/OpcodeString, java/util/Collections, soba/core/method/asm/FastSourceInterpreter, soba/core/method/asm/FastSourceValue, java/lang/Float, java/lang/Iterable, java/lang/Byte, org/hamcrest/collection/IsCollectionWithSize, soba/core/method/LocalVariables, java/lang/String, java/util/Collection, org/objectweb/asm/tree/LabelNode, gnu/trove/map/hash/TObjectIntHashMap, org/objectweb/asm/tree/AbstractInsnNode, soba/core/method/asm/DataFlowInterpreter, org/objectweb/asm/tree/InsnList, java/util/regex/Pattern, soba/core/method/DataDependence, org/hamcrest/FeatureMatcher, gnu/trove/impl/PrimeFinder, java/lang/System, java/lang/Class, soba/core/JavaProgram, gnu/trove/impl/hash/THash, java/lang/Object, soba/core/MethodInfo, soba/core/signature/TypeResolver"
testDataDependence02,"gnu/trove/impl/hash/TIntHash, java/lang/Math, java/util/Arrays, soba/util/ObjectIdMap, soba/core/method/DataDependenceTest, soba/core/method/asm/DataFlowAnalyzer, org/hamcrest/collection/IsCollectionWithSize, gnu/trove/impl/hash/TObjectHash, gnu/trove/list/array/TIntArrayList, java/lang/Integer, java/lang/String, org/hamcrest/Matchers, soba/core/method/DataFlowEdge, java/util/Collection, gnu/trove/impl/HashFunctions, soba/util/IntPairSet, java/util/Map, org/hamcrest/Matcher, org/objectweb/asm/Type, gnu/trove/map/hash/TObjectIntHashMap, soba/core/ClassInfo, gnu/trove/set/hash/TIntHashSet, org/objectweb/asm/tree/AbstractInsnNode, org/objectweb/asm/tree/analysis/Interpreter, gnu/trove/impl/hash/TPrimitiveHash, soba/core/method/asm/FastSourceInterpreter, soba/core/method/asm/DataFlowInterpreter, org/objectweb/asm/tree/InsnList, org/hamcrest/MatcherAssert, soba/core/method/DataDependence, org/hamcrest/FeatureMatcher, gnu/trove/impl/PrimeFinder, java/lang/System, java/lang/Class, org/objectweb/asm/tree/analysis/Analyzer, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/analysis/Subroutine, org/hamcrest/internal/ReflectiveTypeFinder, java/util/Iterator, org/hamcrest/core/IsEqual, org/hamcrest/TypeSafeDiagnosingMatcher, java/util/HashMap, org/objectweb/asm/tree/analysis/Frame, org/hamcrest/core/IsNot, gnu/trove/map/hash/TIntObjectHashMap, soba/core/JavaProgram, gnu/trove/impl/hash/THash, java/util/List, org/objectweb/asm/tree/analysis/Value, java/lang/reflect/Method, java/lang/Boolean, java/lang/Object, soba/core/MethodInfo, org/hamcrest/Description, soba/core/method/OpcodeString, java/util/ArrayList, soba/core/method/asm/FastSourceValue, java/util/Collections"
testDataDependence03,"gnu/trove/impl/hash/TIntHash, java/lang/Math, java/util/Arrays, soba/util/ObjectIdMap, soba/core/method/asm/DataFlowAnalyzer, gnu/trove/list/array/TIntArrayList, gnu/trove/impl/hash/TObjectHash, java/lang/Integer, java/lang/String, org/hamcrest/Matchers, gnu/trove/impl/HashFunctions, soba/util/IntPairSet, soba/core/method/DataFlowEdge, java/util/Map, org/hamcrest/Matcher, org/objectweb/asm/Type, gnu/trove/map/hash/TObjectIntHashMap, soba/core/ClassInfo, gnu/trove/set/hash/TIntHashSet, org/objectweb/asm/tree/AbstractInsnNode, gnu/trove/impl/hash/TPrimitiveHash, soba/core/method/asm/FastSourceInterpreter, soba/core/method/asm/DataFlowInterpreter, org/objectweb/asm/tree/InsnList, org/hamcrest/MatcherAssert, soba/core/method/DataDependence, gnu/trove/impl/PrimeFinder, java/lang/System, org/objectweb/asm/tree/analysis/Analyzer, org/hamcrest/core/IsNull, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/objectweb/asm/tree/analysis/Subroutine, java/util/HashMap, java/util/Iterator, org/objectweb/asm/tree/analysis/Frame, gnu/trove/map/hash/TIntObjectHashMap, org/hamcrest/core/IsNot, soba/core/JavaProgram, gnu/trove/impl/hash/THash, java/util/List, org/objectweb/asm/tree/analysis/Value, java/lang/Object, soba/core/MethodInfo, org/objectweb/asm/tree/analysis/Interpreter, soba/core/method/OpcodeString, java/util/ArrayList, soba/core/method/asm/FastSourceValue, java/util/Collections"
testGetVariableEntryCount,"org/hamcrest/Matchers, java/util/ArrayList, org/hamcrest/Matcher, java/lang/Class, java/lang/Object, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/core/IsEqual, soba/core/method/LocalVariables, java/lang/Integer, org/hamcrest/MatcherAssert"
