ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/home/sugiyma111/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar,junit/framework/Test,junit/framework/Test,Normal,b9048836a9609c56b508cf16a60345cf6cc66ab0,Loader@3d4eac69:junit/framework/Test
1,file:/home/sugiyma111/soba/target/test-classes/,soba/util/graph/SingleRootDirectedGraphTest,soba/util/graph/SingleRootDirectedGraphTest,Normal,2cba096cab7ea7d506dbef4856c61d56257cd305,Loader@3d4eac69:soba/util/graph/SingleRootDirectedGraphTest
2,file:/home/sugiyma111/soba/target/classes/,soba/util/graph/IDirectedGraph,soba/util/graph/IDirectedGraph,Normal,d9d2ede852dd7df967d5f7a45351d1ff1813c797,Loader@3d4eac69:soba/util/graph/IDirectedGraph
3,file:/home/sugiyma111/soba/target/classes/,soba/util/IntPairProc,soba/util/IntPairProc,Normal,6dead5042328f213c25feb8fe35d1feb7a5d0042,Loader@3d4eac69:soba/util/IntPairProc
4,file:/home/sugiyma111/soba/target/test-classes/,soba/util/graph/DirectedGraphTest,soba/util/graph/DirectedGraphTest,Normal,037c01eae62754726061a8c9cb457a73b1ac86e6,Loader@3d4eac69:soba/util/graph/DirectedGraphTest
5,file:/home/sugiyma111/soba/target/classes/,soba/util/graph/IDepthFirstVisitor,soba/util/graph/IDepthFirstVisitor,Normal,f3ab7d000402198f7fab2ad15b39982ef6ce0c98,Loader@3d4eac69:soba/util/graph/IDepthFirstVisitor
6,file:/home/sugiyma111/soba/target/test-classes/,soba/util/graph/DepthFirstSearchTest,soba/util/graph/DepthFirstSearchTest,Normal,b50bbeaadf18acc0d973c3cc4318dddab0437e8d,Loader@3d4eac69:soba/util/graph/DepthFirstSearchTest
7,file:/home/sugiyma111/soba/target/classes/,soba/util/graph/DirectedGraph,soba/util/graph/DirectedGraph,Normal,a3a65363358d77ad0bd95c08ea703346f0f3a4a8,Loader@3d4eac69:soba/util/graph/DirectedGraph
8,file:/home/sugiyma111/soba/target/test-classes/,soba/util/graph/DirectedAcyclicGraphTest,soba/util/graph/DirectedAcyclicGraphTest,Normal,c3f9c0b618d0c058a932c993d4cf096094a48e90,Loader@3d4eac69:soba/util/graph/DirectedAcyclicGraphTest
9,file:/home/sugiyma111/soba/target/test-classes/,soba/util/graph/DominanceTreeTest,soba/util/graph/DominanceTreeTest,Normal,5f917315d047d2f676c601c488e087eb4ddae478,Loader@3d4eac69:soba/util/graph/DominanceTreeTest
10,file:/home/sugiyma111/soba/target/test-classes/,soba/util/IntPairUtilTest,soba/util/IntPairUtilTest,Normal,310aecdf468dc0eb699699b2965dcad51b1c2c0b,Loader@3d4eac69:soba/util/IntPairUtilTest
11,file:/home/sugiyma111/soba/target/test-classes/,soba/util/IntPairSetTest,soba/util/IntPairSetTest,Normal,d01470f8f3215ef6c57d1cd129a3b5bef8075bf1,Loader@3d4eac69:soba/util/IntPairSetTest
12,file:/home/sugiyma111/soba/target/test-classes/,soba/util/IntSetStackTest,soba/util/IntSetStackTest,Normal,54c48bb14161c2565473584d6f88aa3ae92f29ba,Loader@3d4eac69:soba/util/IntSetStackTest
13,file:/home/sugiyma111/soba/target/classes/,soba/util/IntSetStack$DuplicatedElementException,soba/util/IntSetStack$DuplicatedElementException,Normal,1a202968b1dea1212bc6ffd35386c568cab877b9,Loader@3d4eac69:soba/util/IntSetStack$DuplicatedElementException
14,file:/home/sugiyma111/soba/target/classes/,soba/util/IntSetStack$InvalidElementException,soba/util/IntSetStack$InvalidElementException,Normal,e86b25341979db4f8748cb3d2813b733aebe91d1,Loader@3d4eac69:soba/util/IntSetStack$InvalidElementException
15,file:/home/sugiyma111/soba/target/test-classes/,soba/util/callgraph/CallGraphTest,soba/util/callgraph/CallGraphTest,Normal,db601635de2eabbdcf0ee6d99c1b8096726123e5,Loader@3d4eac69:soba/util/callgraph/CallGraphTest
16,file:/home/sugiyma111/soba/target/test-classes/,soba/util/IntStackTest,soba/util/IntStackTest,Normal,eb2dac612a9841f71de3c1e9f2a2d7b2b598ef93,Loader@3d4eac69:soba/util/IntStackTest
17,file:/home/sugiyma111/soba/target/test-classes/,soba/util/IntPairListTest,soba/util/IntPairListTest,Normal,7ffe3d6a7488e0dfcc0ef457ffc8cd9cbdbb0706,Loader@3d4eac69:soba/util/IntPairListTest
