DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,-1,-1,RESERVED,V,"null"
1,0,1,-1,-1,RESERVED,V,"null"
2,1,2,14,-1,RESERVED,V,"null"
3,1,2,14,0,METHOD_ENTRY,V,"methodtype=constructor"
4,1,2,14,3,CALL,V,"opcode=INVOKESPECIAL,owner=java/lang/Object,name=<init>,desc=()V"
5,1,2,14,3,CALL_RETURN,V,"null"
6,1,2,14,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,1,2,14,4,METHOD_NORMAL_EXIT,V,"null"
8,1,2,14,6,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=6,handler=6"
9,1,2,14,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,1,3,21,-1,RESERVED,V,"null"
11,1,3,21,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
12,1,3,21,3,CALL,V,"opcode=INVOKESTATIC,owner=soba/util/graph/GraphTestBase,name=buildGraph,desc=()Lsoba/util/graph/DirectedGraph;"
13,1,3,21,3,CALL_RETURN,V,"null"
14,1,3,22,7,METHOD_NORMAL_EXIT,V,"null"
15,1,3,22,9,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=9,handler=9"
16,1,3,22,9,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
17,1,4,26,-1,RESERVED,V,"null"
18,1,4,26,0,METHOD_ENTRY,Ljava/lang/Object;,"methodtype=instance,index=0"
19,1,4,26,6,CALL,V,"opcode=INVOKESPECIAL,owner=soba/util/graph/SingleRootDirectedGraph,name=<init>,desc=(Lsoba/util/graph/IDirectedGraph;)V,created=-1"
20,1,4,26,6,CALL_RETURN,V,"null"
21,1,4,27,11,CALL,V,"opcode=INVOKEVIRTUAL,owner=soba/util/graph/SingleRootDirectedGraph,name=getVertexCount,desc=()I"
22,1,4,27,11,CALL_RETURN,V,"null"
23,1,4,27,12,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;"
24,1,4,27,12,CALL_RETURN,V,"null"
25,1,4,27,14,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;"
26,1,4,27,14,CALL_RETURN,V,"null"
27,1,4,27,15,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/Matchers,name=is,desc=(Ljava/lang/Object;)Lorg/hamcrest/Matcher;"
28,1,4,27,15,CALL_RETURN,V,"null"
29,1,4,27,16,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/MatcherAssert,name=assertThat,desc=(Ljava/lang/Object;Lorg/hamcrest/Matcher;)V"
30,1,4,27,16,CALL_RETURN,V,"null"
31,1,4,28,20,CALL,V,"opcode=INVOKEVIRTUAL,owner=soba/util/graph/SingleRootDirectedGraph,name=getRootId,desc=()I"
32,1,4,28,20,CALL_RETURN,V,"null"
33,1,4,28,21,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;"
34,1,4,28,21,CALL_RETURN,V,"null"
35,1,4,28,23,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;"
36,1,4,28,23,CALL_RETURN,V,"null"
37,1,4,28,24,CALL,V,"opcode=INVOKESTATIC,owner=org/hamcrest/Matchers,name=is,desc=(Ljava/lang/Object;)Lorg/hamcrest/Matcher;"
38,1,4,28,24,CALL_RETURN,V,"null"
