Name,Libraries
testSingleRootDirectedGraph,"gnu/trove/procedure/TIntObjectProcedure, org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/Matcher, gnu/trove/set/hash/TIntHashSet, gnu/trove/map/hash/TIntObjectHashMap, soba/util/graph/DirectedAcyclicGraph, gnu/trove/impl/hash/THash, soba/util/graph/SingleRootDirectedGraph, soba/util/IntStack, java/lang/Math, soba/util/graph/DirectedGraph, soba/util/IntPairProc, soba/util/IntPairSet, gnu/trove/impl/hash/TIntHash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/impl/hash/TPrimitiveHash, org/hamcrest/MatcherAssert, soba/util/IntPairList, java/lang/Integer, gnu/trove/impl/HashFunctions, soba/util/IntSetStack, soba/util/IntPairUtil, soba/util/graph/IDirectedGraph, org/hamcrest/BaseMatcher, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, gnu/trove/procedure/TIntProcedure"
testEdges,"gnu/trove/procedure/TIntObjectProcedure, org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/Matcher, gnu/trove/set/hash/TIntHashSet, gnu/trove/map/hash/TIntObjectHashMap, soba/util/graph/DirectedAcyclicGraph, gnu/trove/impl/hash/THash, soba/util/graph/SingleRootDirectedGraph, soba/util/IntStack, java/lang/Math, soba/util/graph/DirectedGraph, soba/util/graph/SingleRootDirectedGraphTest, soba/util/IntPairProc, soba/util/IntPairSet, gnu/trove/impl/hash/TIntHash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/impl/hash/TPrimitiveHash, org/hamcrest/MatcherAssert, soba/util/IntPairList, gnu/trove/impl/HashFunctions, java/lang/Integer, soba/util/IntSetStack, soba/util/IntPairUtil, soba/util/graph/IDirectedGraph, org/hamcrest/BaseMatcher, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, gnu/trove/procedure/TIntProcedure"
testDepthFirstSearch,"org/hamcrest/core/IsEqual, soba/util/graph/DirectedGraphTest, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, java/lang/Math, java/lang/Object, gnu/trove/list/array/TIntArrayList, org/hamcrest/Matchers, org/hamcrest/MatcherAssert, java/lang/Class, java/lang/Boolean, java/util/Stack, soba/util/graph/DepthFirstSearch, java/lang/Integer, soba/util/graph/IDepthFirstVisitor, java/lang/System, soba/util/graph/IDirectedGraph"
testEdgeCount,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, soba/util/graph/DirectedGraph, java/lang/Object, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Class, java/lang/Integer"
testReverseGraph,"org/hamcrest/core/Is, java/util/List, java/util/Arrays, org/hamcrest/Matcher, gnu/trove/set/hash/TIntHashSet, org/hamcrest/collection/IsArrayWithSize, java/lang/String, org/hamcrest/collection/IsIterableContainingInAnyOrder, soba/util/UtilForAssertThat, gnu/trove/impl/hash/THash, org/hamcrest/FeatureMatcher, org/hamcrest/TypeSafeMatcher, java/util/Iterator, java/lang/Math, soba/util/graph/DirectedGraph, soba/util/IntPairProc, soba/util/graph/GraphUtil, org/hamcrest/Description, gnu/trove/impl/hash/TIntHash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, java/lang/Iterable, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, gnu/trove/impl/hash/TPrimitiveHash, org/hamcrest/MatcherAssert, soba/util/IntPairList, java/lang/Integer, gnu/trove/impl/HashFunctions, java/lang/reflect/Method, java/util/ArrayList, org/hamcrest/BaseMatcher, soba/util/graph/IDirectedGraph, org/hamcrest/core/DescribedAs, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, java/util/Collection, org/hamcrest/collection/IsArrayContainingInAnyOrder"
testUndirectedGraph,"org/hamcrest/core/Is, java/util/List, java/util/Arrays, org/hamcrest/Matcher, gnu/trove/set/hash/TIntHashSet, org/hamcrest/collection/IsArrayWithSize, java/lang/String, org/hamcrest/collection/IsIterableContainingInAnyOrder, soba/util/UtilForAssertThat, gnu/trove/impl/hash/THash, org/hamcrest/FeatureMatcher, org/hamcrest/TypeSafeMatcher, java/util/Iterator, java/lang/Math, soba/util/graph/DirectedGraph, soba/util/IntPairProc, soba/util/graph/GraphUtil, org/hamcrest/Description, gnu/trove/impl/hash/TIntHash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, java/lang/Iterable, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, gnu/trove/impl/hash/TPrimitiveHash, org/hamcrest/MatcherAssert, soba/util/IntPairList, java/lang/Integer, gnu/trove/impl/HashFunctions, java/lang/reflect/Method, java/util/ArrayList, org/hamcrest/BaseMatcher, soba/util/graph/IDirectedGraph, org/hamcrest/core/DescribedAs, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, java/util/Collection, java/util/regex/Pattern, org/hamcrest/collection/IsArrayContainingInAnyOrder"
testDFS,"org/hamcrest/core/IsEqual, soba/util/graph/DepthFirstSearchTest, org/hamcrest/core/Is, org/hamcrest/Matcher, org/hamcrest/BaseMatcher, soba/util/graph/IDirectedGraph, java/lang/Object, java/lang/Class, org/hamcrest/MatcherAssert, java/util/Stack, soba/util/graph/IDepthFirstVisitor, soba/util/graph/DirectedGraph, java/lang/Boolean, soba/util/graph/DepthFirstSearch, org/hamcrest/Matchers, java/lang/Integer"
testAcyclicGraphNodes,"org/hamcrest/core/IsEqual, org/hamcrest/core/Is, org/hamcrest/BaseMatcher, org/hamcrest/Matcher, soba/util/graph/DirectedGraph, java/lang/Object, org/hamcrest/MatcherAssert, org/hamcrest/Matchers, java/lang/Boolean, soba/util/graph/DirectedAcyclicGraph, java/lang/Class, java/lang/Integer"
testAcyclicGraphEdges,"org/hamcrest/core/Is, java/util/List, org/hamcrest/Matcher, java/util/Arrays, org/hamcrest/collection/IsArrayWithSize, java/lang/String, soba/util/graph/DirectedAcyclicGraph, org/hamcrest/collection/IsIterableContainingInAnyOrder, soba/util/UtilForAssertThat, org/hamcrest/FeatureMatcher, org/hamcrest/TypeSafeMatcher, java/util/Iterator, soba/util/graph/DirectedGraph, soba/util/IntPairProc, org/hamcrest/Description, org/hamcrest/core/IsEqual, java/lang/Iterable, org/hamcrest/TypeSafeDiagnosingMatcher, org/hamcrest/internal/ReflectiveTypeFinder, org/hamcrest/MatcherAssert, soba/util/IntPairList, java/lang/Integer, java/lang/reflect/Method, soba/util/graph/DirectedAcyclicGraphTest, java/util/ArrayList, org/hamcrest/BaseMatcher, org/hamcrest/core/DescribedAs, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, java/util/Collection, org/hamcrest/collection/IsArrayContainingInAnyOrder"
testDominanceTree,"gnu/trove/procedure/TIntObjectProcedure, org/hamcrest/core/Is, java/util/Arrays, org/hamcrest/Matcher, gnu/trove/set/hash/TIntHashSet, soba/util/graph/IDepthFirstVisitor, gnu/trove/map/hash/TIntObjectHashMap, soba/util/graph/DirectedAcyclicGraph, soba/util/graph/DepthFirstSearch, gnu/trove/impl/hash/THash, soba/util/graph/SingleRootDirectedGraph, soba/util/graph/DominanceTree, soba/util/IntStack, java/lang/Math, soba/util/graph/DirectedGraph, soba/util/IntPairProc, soba/util/IntPairSet, gnu/trove/impl/hash/TIntHash, gnu/trove/impl/PrimeFinder, org/hamcrest/core/IsEqual, gnu/trove/impl/hash/TPrimitiveHash, java/util/Stack, org/hamcrest/MatcherAssert, soba/util/IntPairList, gnu/trove/impl/HashFunctions, java/lang/Integer, soba/util/IntSetStack, soba/util/IntPairUtil, soba/util/graph/IDirectedGraph, org/hamcrest/BaseMatcher, java/lang/Object, java/lang/Class, org/hamcrest/Matchers, java/lang/Boolean, gnu/trove/procedure/TIntProcedure"
