ClassID,MethodID,ClassName,MethodName,MethodDesc,Access,SourceFileName,MethodHash
0,0,junit/framework/Test,countTestCases,()I,1025,Test.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
0,1,junit/framework/Test,run,(Ljunit/framework/TestResult;)V,1025,Test.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
1,2,soba/util/graph/SingleRootDirectedGraphTest,<init>,()V,1,SingleRootDirectedGraphTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
1,3,soba/util/graph/SingleRootDirectedGraphTest,buildGraph,()V,1,SingleRootDirectedGraphTest.java,cc04a75b5f08ba51cba2027cac0189107a0b31ba
1,4,soba/util/graph/SingleRootDirectedGraphTest,testSingleRootDirectedGraph,()V,1,SingleRootDirectedGraphTest.java,a137a552b9bec3f9cf77d1f99f55f710552fbbf6
1,5,soba/util/graph/SingleRootDirectedGraphTest,testEdges,()V,1,SingleRootDirectedGraphTest.java,762c619516c49b13b1f65975afdda3b5e1eeaf43
2,6,soba/util/graph/IDirectedGraph,getVertexCount,()I,1025,IDirectedGraph.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
2,7,soba/util/graph/IDirectedGraph,getEdges,(I)[I,1025,IDirectedGraph.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
2,8,soba/util/graph/IDirectedGraph,forEachEdge,(Lsoba/util/IntPairProc;)V,1025,IDirectedGraph.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
3,9,soba/util/IntPairProc,execute,(II)Z,1025,IntPairProc.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
4,10,soba/util/graph/DirectedGraphTest,<init>,()V,1,DirectedGraphTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
4,11,soba/util/graph/DirectedGraphTest,buildGraph,()V,9,DirectedGraphTest.java,ea1ea2f8f2d2fe9e4dbacc05e2c5a61ba4ed1387
4,12,soba/util/graph/DirectedGraphTest,testDepthFirstSearch,()V,1,DirectedGraphTest.java,3fe52adc4a28a3c0bdd24ac421e2b69373c17682
4,13,soba/util/graph/DirectedGraphTest,testEdgeCount,()V,1,DirectedGraphTest.java,341161cccccaa1939cb97a14ddf1dc7e0e65d8c7
4,14,soba/util/graph/DirectedGraphTest,testReverseGraph,()V,1,DirectedGraphTest.java,ba1b154d822e0830d0db753e7a238adc03b155fe
4,15,soba/util/graph/DirectedGraphTest,testUndirectedGraph,()V,1,DirectedGraphTest.java,84b2bab619f90c3d944a30581e3230d8ce5faf85
5,16,soba/util/graph/IDepthFirstVisitor,onStart,(I)V,1025,IDepthFirstVisitor.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
5,17,soba/util/graph/IDepthFirstVisitor,onVisit,(I)Z,1025,IDepthFirstVisitor.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
5,18,soba/util/graph/IDepthFirstVisitor,onVisitAgain,(I)V,1025,IDepthFirstVisitor.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
5,19,soba/util/graph/IDepthFirstVisitor,onLeave,(I)V,1025,IDepthFirstVisitor.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
5,20,soba/util/graph/IDepthFirstVisitor,onFinished,([Z)V,1025,IDepthFirstVisitor.java,da39a3ee5e6b4b0d3255bfef95601890afd80709
6,21,soba/util/graph/DepthFirstSearchTest,<init>,()V,1,DepthFirstSearchTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
6,22,soba/util/graph/DepthFirstSearchTest,buildGraph,()V,1,DepthFirstSearchTest.java,955c79abf3247ad985419ae51b8233a90d3dd140
6,23,soba/util/graph/DepthFirstSearchTest,testDFS,()V,1,DepthFirstSearchTest.java,e49db8da21c04641bdb15e3bb94541ed3b9612c9
6,24,soba/util/graph/DepthFirstSearchTest,access$000,(Lsoba/util/graph/DepthFirstSearchTest;)Lsoba/util/graph/DirectedGraph;,4104,DepthFirstSearchTest.java,ec18358b0c021ccccff8a20d09db01cb96d1ebe3
7,25,soba/util/graph/DirectedGraph,<init>,(ILsoba/util/IntPairList;)V,1,DirectedGraph.java,f340fd0bc0952cd9903f3785ee8f0b82f56ab2ec
7,26,soba/util/graph/DirectedGraph,constructEdgeArray,(Lsoba/util/IntPairList;)[[I,2,DirectedGraph.java,27a036d04ac51e6ebf60a1b85763503515bcf02e
7,27,soba/util/graph/DirectedGraph,getEdgeCount,()I,1,DirectedGraph.java,99d330da3cc4065d359799e5daa654e342d984e3
7,28,soba/util/graph/DirectedGraph,getVertexCount,()I,1,DirectedGraph.java,d7b4edc4b16bf1a863aadd65709bd4cad889b488
7,29,soba/util/graph/DirectedGraph,forEachEdge,(Lsoba/util/IntPairProc;)V,1,DirectedGraph.java,1632d35d64415e07cacb5e50e0cfa921bcfd647a
7,30,soba/util/graph/DirectedGraph,getEdges,(I)[I,1,DirectedGraph.java,353873d58b4305f259ffa71cf58bb11a77d73195
7,31,soba/util/graph/DirectedGraph,getReverseGraph,()Lsoba/util/graph/DirectedGraph;,1,DirectedGraph.java,01e87a8c1090c080fe89d427fe0861dd9784122e
7,32,soba/util/graph/DirectedGraph,getUndirectedGraph,()Lsoba/util/graph/DirectedGraph;,1,DirectedGraph.java,4d5f8b8b416996e65f46921434918f85b0b22af6
7,33,soba/util/graph/DirectedGraph,<clinit>,()V,8,DirectedGraph.java,646512b19eae7874405d1bbfcedc131502640cd6
8,34,soba/util/graph/DirectedAcyclicGraphTest,<init>,()V,1,DirectedAcyclicGraphTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
8,35,soba/util/graph/DirectedAcyclicGraphTest,buildGraph,()V,1,DirectedAcyclicGraphTest.java,d0ffbb205884e761f35c16f91c986633483acb9f
8,36,soba/util/graph/DirectedAcyclicGraphTest,testAcyclicGraphNodes,()V,1,DirectedAcyclicGraphTest.java,c41bd2fdd5403f488d9b10693229c7b61d84e256
8,37,soba/util/graph/DirectedAcyclicGraphTest,testAcyclicGraphEdges,()V,1,DirectedAcyclicGraphTest.java,146583011001f0fe01e17904b1746f3bd8f6fbb4
9,38,soba/util/graph/DominanceTreeTest,<init>,()V,1,DominanceTreeTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
9,39,soba/util/graph/DominanceTreeTest,buildGraph,()V,9,DominanceTreeTest.java,f46cc38b420a8100b272e8938e6cdaa7e5a5deff
9,40,soba/util/graph/DominanceTreeTest,testDominanceTree,()V,1,DominanceTreeTest.java,67a21d6594a24e7f5c2c6b673302e680bbe9d21f
10,41,soba/util/IntPairUtilTest,<init>,()V,1,IntPairUtilTest.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
10,42,soba/util/IntPairUtilTest,testCreateList,()V,1,IntPairUtilTest.java,78dc5b18678aeb860b36f2fe048f5f84f979c6ef
10,43,soba/util/IntPairUtilTest,testCreateList2,()V,1,IntPairUtilTest.java,cd5bd56142c3e80a09ec19e09998f9d16e17ca47
11,44,soba/util/IntPairSetTest,<init>,()V,1,IntPairSetTest.java,bb1c5f55ab6ace133e8bc66df20c0dff3b7a76ad
11,45,soba/util/IntPairSetTest,testIntPairSet,()V,1,IntPairSetTest.java,c634fa60ff8fe85071a9105b7b971440e29213b7
11,46,soba/util/IntPairSetTest,testForEach,()V,1,IntPairSetTest.java,05c55c6da4291cbe4c27ae54095fd401b57e27f0
11,47,soba/util/IntPairSetTest,access$000,(Lsoba/util/IntPairSetTest;)Z,4104,IntPairSetTest.java,12beb47604c84c4c6b19d93c724b57fb18816638
11,48,soba/util/IntPairSetTest,access$002,(Lsoba/util/IntPairSetTest;Z)Z,4104,IntPairSetTest.java,5b542fa8459f7e623044fc846125c28d3421c115
11,49,soba/util/IntPairSetTest,access$100,(Lsoba/util/IntPairSetTest;)Z,4104,IntPairSetTest.java,5a95f867a7b208c986d9e7f70ea06d17a9619806
11,50,soba/util/IntPairSetTest,access$102,(Lsoba/util/IntPairSetTest;Z)Z,4104,IntPairSetTest.java,218c665ffe9301bb751f66cd38338d386d9d3884
11,51,soba/util/IntPairSetTest,access$200,(Lsoba/util/IntPairSetTest;)Z,4104,IntPairSetTest.java,8cdd64ec210f4ee4f52b5c71c6d64fc872565b67
11,52,soba/util/IntPairSetTest,access$202,(Lsoba/util/IntPairSetTest;Z)Z,4104,IntPairSetTest.java,adea6d37927b7b98bfd2211a1001583968e4b27f
11,53,soba/util/IntPairSetTest,access$300,(Lsoba/util/IntPairSetTest;)Z,4104,IntPairSetTest.java,ac61c337060a43c030e5af02d52999e59a26cf50
11,54,soba/util/IntPairSetTest,access$302,(Lsoba/util/IntPairSetTest;Z)Z,4104,IntPairSetTest.java,d7bb6764d975aca7c6baca120ab4089785b31993
