ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID,Annotations
0,file:/home/sugiyma111/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar,junit/framework/Test,junit/framework/Test,Normal,b9048836a9609c56b508cf16a60345cf6cc66ab0,Loader@3d4eac69:junit/framework/Test,
1,file:/home/sugiyma111/clone_LTCE/LoggingTestCaseExecution/selogger-main/target/test-classes/,selogger/testdata/TestMain,selogger/testdata/TestMain,Normal,bcabb8b8b865f0e97c786e771ffb996eb5918a5f,Loader@3d4eac69:selogger/testdata/TestMain,
2,file:/home/sugiyma111/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar,junit/framework/TestCase,junit/framework/TestCase,Normal,44e3f1e1f36d490170a335b94148cbad68091df0,Loader@3d4eac69:junit/framework/TestCase,
3,file:/home/sugiyma111/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar,junit/framework/Assert,junit/framework/Assert,Normal,ecdf46fe257a64b3400c17f7882ab6f9273c03f3,Loader@3d4eac69:junit/framework/Assert,java.lang.Deprecated
4,file:/home/sugiyma111/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar,org/hamcrest/SelfDescribing,org/hamcrest/SelfDescribing,Normal,4a4b704b150540dbc0bf5029eb1a949dd0fbec2a,Loader@3d4eac69:org/hamcrest/SelfDescribing,
5,file:/home/sugiyma111/.m2/repository/org/ow2/asm/asm/9.7/asm-9.7.jar,org/objectweb/asm/Handle,org/objectweb/asm/Handle,Normal,a3190b881a496accf65adce11f9ce8a9516cdfa7,Loader@3d4eac69:org/objectweb/asm/Handle,
6,file:/home/sugiyma111/clone_LTCE/LoggingTestCaseExecution/selogger-main/target/test-classes/,selogger/testdata/SimpleTarget$StringComparator,selogger/testdata/SimpleTarget$StringComparator,Normal,92c441c9fffa459d295bc147554167ec387f62e8,Loader@3d4eac69:selogger/testdata/SimpleTarget$StringComparator,
7,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ObjectMapper,com/fasterxml/jackson/databind/ObjectMapper,Normal,04919f0123673a274b3313e8a9c5c1d9a6a8a6b5,Loader@3d4eac69:com/fasterxml/jackson/databind/ObjectMapper,
8,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/Versioned,com/fasterxml/jackson/core/Versioned,Normal,f857f624c26368b2d5357792aa532deb2e1ad3e5,Loader@3d4eac69:com/fasterxml/jackson/core/Versioned,
9,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/ObjectCodec,com/fasterxml/jackson/core/ObjectCodec,Normal,b09a45759b083a39e2b198ef3c2aef5ee61069c1,Loader@3d4eac69:com/fasterxml/jackson/core/ObjectCodec,
10,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/TreeCodec,com/fasterxml/jackson/core/TreeCodec,Normal,76289886b7434bf6bd93b6a313e20a788cd0675d,Loader@3d4eac69:com/fasterxml/jackson/core/TreeCodec,
11,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/JsonFactory,com/fasterxml/jackson/core/JsonFactory,Normal,b456c343db07a1dc3f1f3bb7681ee96f152a874b,Loader@3d4eac69:com/fasterxml/jackson/core/JsonFactory,
12,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/TokenStreamFactory,com/fasterxml/jackson/core/TokenStreamFactory,Normal,f8e2cd7006253db6c39159428fd47cfa172e56c4,Loader@3d4eac69:com/fasterxml/jackson/core/TokenStreamFactory,
13,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/MappingJsonFactory,com/fasterxml/jackson/databind/MappingJsonFactory,Normal,e4ded1cdf213ef2cb5f7cc94c9e8fc81eb139842,Loader@3d4eac69:com/fasterxml/jackson/databind/MappingJsonFactory,
14,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/jsontype/SubtypeResolver,com/fasterxml/jackson/databind/jsontype/SubtypeResolver,Normal,190a2515efb40f3a061c294a69d67eeefc3f2b7a,Loader@3d4eac69:com/fasterxml/jackson/databind/jsontype/SubtypeResolver,
15,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/jsontype/impl/StdSubtypeResolver,com/fasterxml/jackson/databind/jsontype/impl/StdSubtypeResolver,Normal,950837199f8d07f02b81756db7d82a9d883e67a3,Loader@3d4eac69:com/fasterxml/jackson/databind/jsontype/impl/StdSubtypeResolver,
16,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ser/DefaultSerializerProvider,com/fasterxml/jackson/databind/ser/DefaultSerializerProvider,Normal,36de9b9e4e5820190184ae2722ec3f5043fd53d6,Loader@3d4eac69:com/fasterxml/jackson/databind/ser/DefaultSerializerProvider,
17,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/SerializerProvider,com/fasterxml/jackson/databind/SerializerProvider,Normal,547cde77a8116e5f4940f1223e2c264433afbc9f,Loader@3d4eac69:com/fasterxml/jackson/databind/SerializerProvider,
18,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/DatabindContext,com/fasterxml/jackson/databind/DatabindContext,Normal,bac0fb08e46e65cfb9c9f6c6d28f3cc7d2ce18e4,Loader@3d4eac69:com/fasterxml/jackson/databind/DatabindContext,
19,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ser/DefaultSerializerProvider$Impl,com/fasterxml/jackson/databind/ser/DefaultSerializerProvider$Impl,Normal,24580f5fe61dd3235641357b9864998007496340,Loader@3d4eac69:com/fasterxml/jackson/databind/ser/DefaultSerializerProvider$Impl,
20,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/deser/DeserializerFactory,com/fasterxml/jackson/databind/deser/DeserializerFactory,Normal,4a6a9fdb7a2fb1ed71510c4decc35434ed6a8454,Loader@3d4eac69:com/fasterxml/jackson/databind/deser/DeserializerFactory,
21,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/deser/BeanDeserializerFactory,com/fasterxml/jackson/databind/deser/BeanDeserializerFactory,Normal,c19d2d2111a383aff5e862339cdc646bc63171de,Loader@3d4eac69:com/fasterxml/jackson/databind/deser/BeanDeserializerFactory,
22,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/deser/BasicDeserializerFactory,com/fasterxml/jackson/databind/deser/BasicDeserializerFactory,Normal,638d98ac9f23ff18a630c4e72df79febf19ea64d,Loader@3d4eac69:com/fasterxml/jackson/databind/deser/BasicDeserializerFactory,
23,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/deser/DefaultDeserializationContext,com/fasterxml/jackson/databind/deser/DefaultDeserializationContext,Normal,effdefe9e6c290c9652f1ab883eea7c335ceae8e,Loader@3d4eac69:com/fasterxml/jackson/databind/deser/DefaultDeserializationContext,
24,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/DeserializationContext,com/fasterxml/jackson/databind/DeserializationContext,Normal,33f50200e2fe941bd95a31905885375221e1a9d8,Loader@3d4eac69:com/fasterxml/jackson/databind/DeserializationContext,
25,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl,com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl,Normal,3bacea03250848558cb0c70853efdb10ec3158f7,Loader@3d4eac69:com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl,
26,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ser/SerializerFactory,com/fasterxml/jackson/databind/ser/SerializerFactory,Normal,62e1d341e2dd6d4dece3061b1691e0dfa9402d73,Loader@3d4eac69:com/fasterxml/jackson/databind/ser/SerializerFactory,
27,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ser/BeanSerializerFactory,com/fasterxml/jackson/databind/ser/BeanSerializerFactory,Normal,cac462ca17baa8aca779ac31cf31790d5757ca02,Loader@3d4eac69:com/fasterxml/jackson/databind/ser/BeanSerializerFactory,
28,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/ser/BasicSerializerFactory,com/fasterxml/jackson/databind/ser/BasicSerializerFactory,Normal,4f709cd22aa61efb844dfc6000a684dbf6b2c20b,Loader@3d4eac69:com/fasterxml/jackson/databind/ser/BasicSerializerFactory,
29,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/AnnotationIntrospector,com/fasterxml/jackson/databind/AnnotationIntrospector,Normal,1fd4fcbfc49d329ca9dfee1277384600c32cd1cb,Loader@3d4eac69:com/fasterxml/jackson/databind/AnnotationIntrospector,
30,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector,com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector,Normal,e076ca95ec4128f0630558147da27c1e1c7aed86,Loader@3d4eac69:com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector,
31,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/introspect/AccessorNamingStrategy$Provider,com/fasterxml/jackson/databind/introspect/AccessorNamingStrategy$Provider,Normal,59cb9c0bf82c4f89aebec76706f1236e4d5c553c,Loader@3d4eac69:com/fasterxml/jackson/databind/introspect/AccessorNamingStrategy$Provider,
32,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$Provider,com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$Provider,Normal,07781cba08895ed005a78ca95953f41f77ab53df,Loader@3d4eac69:com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$Provider,
33,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator,com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator,Normal,36ca2255cc7553c407c4a7f5916a873b00288ecb,Loader@3d4eac69:com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator,
34,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/jsontype/impl/LaissezFaireSubTypeValidator,com/fasterxml/jackson/databind/jsontype/impl/LaissezFaireSubTypeValidator,Normal,79db2139fe05de0631ad011defe7b1c26f9e0a57,Loader@3d4eac69:com/fasterxml/jackson/databind/jsontype/impl/LaissezFaireSubTypeValidator,
35,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator$Base,com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator$Base,Normal,eceab556e51d6f48c3604108d3df5c3c498cead7,Loader@3d4eac69:com/fasterxml/jackson/databind/jsontype/PolymorphicTypeValidator$Base,
36,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.13.4.2/jackson-databind-2.13.4.2.jar,com/fasterxml/jackson/databind/util/StdDateFormat,com/fasterxml/jackson/databind/util/StdDateFormat,Normal,8b2e9a1b8d543c3457cdc92374f55eb131757a40,Loader@3d4eac69:com/fasterxml/jackson/databind/util/StdDateFormat,
37,file:/home/sugiyma111/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.13.4/jackson-core-2.13.4.jar,com/fasterxml/jackson/core/JsonProcessingException,com/fasterxml/jackson/core/JsonProcessingException,Normal,b2e414bd02a7d514f219f7e7ac1be0b955493bfd,Loader@3d4eac69:com/fasterxml/jackson/core/JsonProcessingException,
