DataID,ClassID,MethodID,ClassName,MethodName,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,-1,RESERVED,V,"null"
1,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,0,LABEL,I,"null"
3,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,1,LINE_NUMBER,V,"null"
4,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,3,CALL,V,"opcode=INVOKESPECIAL,owner=java.lang.Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,3,CALL_RETURN,V,"type=void"
6,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,4,METHOD_NORMAL_EXIT,V,"type=void"
8,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,6,CATCH,Ljava/lang/Object;,"type=java.lang.Throwable,location=exceptional-exit,start=0,end=6,handler=6"
9,0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,39,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
10,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,-1,RESERVED,V,"null"
11,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,0,METHOD_ENTRY,V,"methodtype=static"
12,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,0,METHOD_PARAM,Ljava/lang/Object;,"type=java.lang.String[],name=args,index=0"
13,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,0,LABEL,I,"null"
14,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,1,LINE_NUMBER,V,"null"
15,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,2,GET_STATIC_FIELD,Ljava/lang/Object;,"type=java.io.PrintStream,owner=java.lang.System,name=out"
16,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,52,3,LOCAL_STORE,Ljava/lang/Object;,"type=java.io.PrintStream,varindex=1,name=originalOut"
17,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,4,LABEL,I,"null"
18,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,5,LINE_NUMBER,V,"null"
19,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,6,LOCAL_LOAD,Ljava/lang/Object;,"type=java.lang.String[],varindex=0,name=args"
20,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,7,ARRAY_LENGTH,Ljava/lang/Object;,"null"
21,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,7,ARRAY_LENGTH_RESULT,I,"null"
22,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,55,9,JUMP,V,"opcode=IF_ICMPLE,jumpto=19"
23,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,10,LABEL,I,"null"
24,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,11,LINE_NUMBER,V,"null"
25,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,12,NEW_OBJECT,V,"objecttype=java.io.File"
26,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,14,LOCAL_LOAD,Ljava/lang/Object;,"type=java.lang.String[],varindex=0,name=args"
27,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,16,ARRAY_LOAD,Ljava/lang/Object;,"null"
28,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,16,ARRAY_LOAD_INDEX,I,"null"
29,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,16,ARRAY_LOAD_RESULT,Ljava/lang/Object;,"null"
30,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,17,CALL,V,"opcode=INVOKESPECIAL,owner=java.io.File,name=<init>,desc=(Ljava/lang/String;)V,methodtype=constructor,created=12"
31,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,17,CALL_PARAM,Ljava/lang/Object;,"type=java.lang.String,index=1"
32,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,17,CALL_RETURN,V,"type=void"
33,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,17,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=12"
34,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,18,CALL,V,"opcode=INVOKESTATIC,owner=org.apache.maven.surefire.booter.SystemPropertyManager,name=setSystemProperties,desc=(Ljava/io/File;)V,methodtype=static"
35,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,18,CALL_PARAM,Ljava/lang/Object;,"type=java.io.File,index=0"
36,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,57,18,CALL_RETURN,V,"type=void"
37,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,19,LABEL,I,"null"
38,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,20,LINE_NUMBER,V,"null"
39,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,21,NEW_OBJECT,V,"objecttype=java.io.File"
40,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,23,LOCAL_LOAD,Ljava/lang/Object;,"type=java.lang.String[],varindex=0,name=args"
41,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,25,ARRAY_LOAD,Ljava/lang/Object;,"null"
42,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,25,ARRAY_LOAD_INDEX,I,"null"
43,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,25,ARRAY_LOAD_RESULT,Ljava/lang/Object;,"null"
44,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,26,CALL,V,"opcode=INVOKESPECIAL,owner=java.io.File,name=<init>,desc=(Ljava/lang/String;)V,methodtype=constructor,created=21"
45,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,26,CALL_PARAM,Ljava/lang/Object;,"type=java.lang.String,index=1"
46,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,26,CALL_RETURN,V,"type=void"
47,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,26,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=21"
48,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,60,27,LOCAL_STORE,Ljava/lang/Object;,"type=java.io.File,varindex=2,name=surefirePropertiesFile"
49,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,28,LABEL,I,"null"
50,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,29,LINE_NUMBER,V,"null"
51,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,30,LOCAL_LOAD,Ljava/lang/Object;,"type=java.io.File,varindex=2,name=surefirePropertiesFile"
52,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,31,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java.io.File,name=exists,desc=()Z,methodtype=instance"
53,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,31,CALL_RETURN,Z,"type=boolean"
54,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,32,JUMP,V,"opcode=IFEQ,jumpto=38"
55,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,33,NEW_OBJECT,V,"objecttype=java.io.FileInputStream"
56,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,35,LOCAL_LOAD,Ljava/lang/Object;,"type=java.io.File,varindex=2,name=surefirePropertiesFile"
57,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,36,CALL,V,"opcode=INVOKESPECIAL,owner=java.io.FileInputStream,name=<init>,desc=(Ljava/io/File;)V,methodtype=constructor,created=33"
58,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,36,CALL_PARAM,Ljava/lang/Object;,"type=java.io.File,index=1"
59,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,36,CALL_RETURN,V,"type=void"
60,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,36,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=33"
61,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,37,JUMP,V,"opcode=GOTO,jumpto=40"
62,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,38,LABEL,I,"null"
63,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,40,LABEL,I,"null"
64,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,61,41,LOCAL_STORE,Ljava/lang/Object;,"type=java.io.InputStream,varindex=3,name=stream"
65,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,62,42,LABEL,I,"null"
66,0,1,org/apache/maven/surefire/booter/ForkedBooter,main,62,43,LINE_NUMBER,V,"null"
