Seqnum,DataId,ThreadId,Value
0,11,0,0
1,12,0,1
2,13,0,0
3,14,0,0
4,15,0,2
5,16,0,2
6,17,0,2
7,18,0,0
8,19,0,1
9,20,0,1
10,21,0,2
11,23,0,9
12,24,0,0
13,25,0,0
14,26,0,1
15,27,0,1
16,28,0,1
17,2545,0,0
18,2546,0,0
19,2547,0,0
20,2548,0,0
21,2836,0,0
22,2837,0,0
23,2838,0,0
24,332,0,0
25,333,0,0
26,334,0,0
27,335,0,0
28,336,0,0
29,3337,0,5
30,3338,0,5
31,2564,0,6
32,2565,0,6
33,160,0,16
34,161,0,6
35,162,0,0
36,163,0,6
37,164,0,117
38,165,0,0
39,166,0,6
40,167,0,7
41,168,0,6
42,169,0,7
43,170,0,0
44,171,0,124
45,172,0,0
46,173,0,0
47,174,0,1
48,182,0,0
49,183,0,1
50,184,0,0
51,185,0,0
52,186,0,1
53,187,0,0
54,188,0,1
55,289,0,0
56,290,0,1
57,291,0,0
58,292,0,0
59,293,0,0
60,294,0,0
61,295,0,1
62,296,0,0
63,297,0,1
64,3340,0,0
65,3341,0,1
66,3342,0,0
67,3343,0,0
68,3344,0,0
69,3345,0,0
70,3346,0,8
71,3347,0,1
72,3348,0,8
73,3349,0,1
74,3350,0,0
75,298,0,0
76,299,0,8
77,300,0,0
78,301,0,8
79,302,0,0
80,303,0,9
81,304,0,9
82,305,0,8
83,306,0,0
84,307,0,9
85,308,0,9
86,309,0,true
87,310,0,0
88,311,0,14
89,312,0,0
90,313,0,9
91,314,0,9
92,315,0,0
93,316,0,18
94,317,0,0
95,318,0,0
96,189,0,0
97,190,0,3
98,191,0,0
99,192,0,1
100,193,0,0
101,194,0,1
102,3354,1,8
103,3355,1,0
104,3356,1,0
105,3357,1,0
106,3358,1,30000
