ClassID,MethodID,ClassName,MethodName,MethodDesc,Access,SourceFileName,MethodHash,VisibleAnnotations,InvisibleAnnotations
0,0,org/apache/maven/surefire/booter/ForkedBooter,<init>,()V,1,ForkedBooter.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c,,
0,1,org/apache/maven/surefire/booter/ForkedBooter,main,([Ljava/lang/String;)V,9,ForkedBooter.java,93644ced06164dda3925b3e321c0f31942f9725a,,
0,2,org/apache/maven/surefire/booter/ForkedBooter,exit,(I)V,10,ForkedBooter.java,86ad8f0a75ccbfdebf83f6e9ad453daabd7481cd,,
0,3,org/apache/maven/surefire/booter/ForkedBooter,runSuitesInProcess,(Ljava/lang/Object;Ljava/lang/ClassLoader;Lorg/apache/maven/surefire/booter/StartupConfiguration;Lorg/apache/maven/surefire/booter/ProviderConfiguration;Ljava/io/PrintStream;)Lorg/apache/maven/surefire/suite/RunResult;,10,ForkedBooter.java,3698a1d30709809aa27dbec0bc821fe870f07735,,
0,4,org/apache/maven/surefire/booter/ForkedBooter,createForkingReporterFactory,(Lorg/apache/maven/surefire/booter/SurefireReflector;Lorg/apache/maven/surefire/booter/ProviderConfiguration;Ljava/io/PrintStream;)Ljava/lang/Object;,10,ForkedBooter.java,1f021abb44286b76a83164f5b7cb24859b849dda,,
0,5,org/apache/maven/surefire/booter/ForkedBooter,launchLastDitchDaemonShutdownThread,(I)V,10,ForkedBooter.java,e1665e9981e710347126cb21c86de4fe999e2c99,,
1,6,com/fasterxml/jackson/core/io/JsonStringEncoder,<init>,()V,1,JsonStringEncoder.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c,,
1,7,com/fasterxml/jackson/core/io/JsonStringEncoder,getInstance,()Lcom/fasterxml/jackson/core/io/JsonStringEncoder;,9,JsonStringEncoder.java,d608289436f5e0be4c5056938422563396fd7fef,,
1,8,com/fasterxml/jackson/core/io/JsonStringEncoder,quoteAsString,(Ljava/lang/String;)[C,1,JsonStringEncoder.java,cec60f4d83f5369dbfd91773bdff8af8fe3c3313,,
1,9,com/fasterxml/jackson/core/io/JsonStringEncoder,quoteAsString,(Ljava/lang/CharSequence;)[C,1,JsonStringEncoder.java,cf6aef69f51aadd646789df0f903d858b6b8abd2,,
1,10,com/fasterxml/jackson/core/io/JsonStringEncoder,quoteAsString,(Ljava/lang/CharSequence;Ljava/lang/StringBuilder;)V,1,JsonStringEncoder.java,0d6cf4f5a4995ca2f1f7d5957836030fc2f9c2b2,,
1,11,com/fasterxml/jackson/core/io/JsonStringEncoder,quoteAsUTF8,(Ljava/lang/String;)[B,1,JsonStringEncoder.java,720d96ca40ad09e6514b027d2335e3670e61210f,,
1,12,com/fasterxml/jackson/core/io/JsonStringEncoder,encodeAsUTF8,(Ljava/lang/String;)[B,1,JsonStringEncoder.java,8a7809da4f6b5cab44289d905e5483de733ab59c,,
1,13,com/fasterxml/jackson/core/io/JsonStringEncoder,encodeAsUTF8,(Ljava/lang/CharSequence;)[B,1,JsonStringEncoder.java,def04ffb44e4c3672fd8d76f3d2feac4db31229f,,
1,14,com/fasterxml/jackson/core/io/JsonStringEncoder,_qbuf,()[C,2,JsonStringEncoder.java,1e94e376847a38e1c7c7edc90528548d61e39513,,
1,15,com/fasterxml/jackson/core/io/JsonStringEncoder,_appendNumeric,(I[C)I,2,JsonStringEncoder.java,1fe4135c1885635db9ed1559efa0e93c9b493146,,
1,16,com/fasterxml/jackson/core/io/JsonStringEncoder,_appendNamed,(I[C)I,2,JsonStringEncoder.java,aaf8ea6d82358e6c51195ef010a77f5459d70e3a,,
1,17,com/fasterxml/jackson/core/io/JsonStringEncoder,_appendByte,(IILcom/fasterxml/jackson/core/util/ByteArrayBuilder;I)I,2,JsonStringEncoder.java,1f08897ab1f6b2c81d16c5fab455410682284f9a,,
1,18,com/fasterxml/jackson/core/io/JsonStringEncoder,_convert,(II)I,10,JsonStringEncoder.java,d3c4000662ce90d4a90c49735dbbc8dd140d8bcb,,
