ClassName,MethodName,Library
ListingTest,<init>,java/lang/Object
ListingTest,testTrimString,java/lang/String
ListingTest,testTrimString,org/junit/jupiter/api/Assertions
ListingTest,testImmutableList,java/util/ArrayList
ListingTest,testImmutableList,java/util/List
ListingTest,testImmutableList,java/util/Collections
ListingTest,testImmutableList,org/junit/jupiter/api/Assertions
ListingTest,testUppercaseList,java/util/ArrayList
ListingTest,testUppercaseList,java/util/List
ListingTest,testUppercaseList,java/util/Iterator
ListingTest,testUppercaseList,java/lang/String
ListingTest,testUppercaseList,org/junit/jupiter/api/Assertions
